Date,Home Team,Away Team,Home Score,Away Score,Total Score,Overtime?,Playoff Game?,Neutral Venue?,Total Score Open,Differential,Wind Speed,Temperature,Humidity,Precipitation,Seahawks DF Ranking,Seahawks OF Ranking,Opponent DF Ranking,Opponent OF Ranking
9/10/2017,Green Bay Packers,Seattle Seahawks,17,9,26,,,,49.5,-23.5,6,68,60,none,14,15,26,26
9/17/2017,Seattle Seahawks,San Francisco 49ers,12,9,21,,,,43,-22,4,60,76,light rain,14,15,25,12
9/24/2017,Tennessee Titans,Seattle Seahawks,33,27,60,,,,43,17,2,87,52,none,14,15,17,23
10/1/2017,Seattle Seahawks,Indianapolis Colts,46,18,64,,,,41.5,22.5,3,56,70,none,14,15,30,31
10/8/2017,Los Angeles Rams,Seattle Seahawks,10,16,26,,,,46,-20,4,75,57,none,14,15,12,10
10/22/2017,New York Giants,Seattle Seahawks,7,24,31,,,,38.5,-7.5,2,68,50,none,14,15,27,21
10/29/2017,Seattle Seahawks,Houston Texans,41,38,79,,,,42,37,0,52,90,none,14,15,32,20
11/5/2017,Seattle Seahawks,Washington,14,17,31,,,,45,-14,4,35,88,light rain,14,15,28,16
11/9/2017,Arizona Cardinals,Seattle Seahawks,16,22,38,,,,42.5,-4.5,0,77,35,none,14,15,19,22
11/20/2017,Seattle Seahawks,Atlanta Falcons,31,34,65,,,,45,20,1,44,88,none,14,15,8,8
11/26/2017,San Francisco 49ers,Seattle Seahawks,13,24,37,,,,42,-5,4,62,84,none,14,15,25,12
12/3/2017,Seattle Seahawks,Philadelphia Eagles,24,10,34,,,,48,-14,0,41,88,none,14,15,4,7
12/10/2017,Jacksonville Jaguars,Seattle Seahawks,30,24,54,,,,39,15,2,49,50,none,14,15,2,6
12/17/2017,Seattle Seahawks,Los Angeles Rams,7,42,49,,,,47.5,1.5,6,47,89,none,14,15,12,10
12/24/2017,Dallas Cowboys,Seattle Seahawks,12,21,33,,,,47,-14,5,43,58,none,14,15,13,14
12/31/2017,Seattle Seahawks,Arizona Cardinals,24,26,50,,,,40.5,9.5,3,40,82,none,14,15,19,22
9/9/2018,Denver Broncos,Seattle Seahawks,27,24,51,,,,42,9,3,85,16,none,11,18,13,19
9/17/2018,Chicago Bears,Seattle Seahawks,24,17,41,,,,43.5,-2.5,2,78,64,none,11,18,1,21
9/23/2018,Seattle Seahawks,Dallas Cowboys,24,13,37,,,,41.5,-4.5,1,63,49,light rain,11,18,6,22
9/30/2018,Arizona Cardinals,Seattle Seahawks,17,20,37,,,,37.5,-0.5,0,93,28,none,11,18,26,32
10/7/2018,Seattle Seahawks,Los Angeles Rams,31,33,64,,,,49,15,3,55,78,light rain,11,18,20,2
10/14/2018,Oakland Raiders,Seattle Seahawks,3,27,30,,,Y,47,-17,10,50,92,light rain,11,18,32,23
10/28/2018,Detroit Lions,Seattle Seahawks,14,28,42,,,,49,-7,0,43,88,none,11,18,16,24
11/4/2018,Seattle Seahawks,Los Angeles Chargers,17,25,42,,,,48,-6,4,58,68,none,11,18,8,11
11/11/2018,Los Angeles Rams,Seattle Seahawks,36,31,67,,,,51.5,15.5,2,76,10,none,11,18,20,2
11/15/2018,Seattle Seahawks,Green Bay Packers,27,24,51,,,,49.5,1.5,4,54,73,light rain,11,18,22,12
11/25/2018,Carolina Panthers,Seattle Seahawks,27,30,57,,,,47,10,1,55,68,none,11,18,19,10
12/2/2018,Seattle Seahawks,San Francisco 49ers,43,16,59,,,,46,13,1,45,80,none,11,18,28,16
12/10/2018,Seattle Seahawks,Minnesota Vikings,21,7,28,,,,45,-17,4,46,82,none,11,18,9,20
12/16/2018,San Francisco 49ers,Seattle Seahawks,26,23,49,Y,,,44.5,4.5,7,59,71,light rain,11,18,28,16
12/23/2018,Seattle Seahawks,Kansas City Chiefs,38,31,69,,,,54,15,4,44,88,light rain,11,18,24,1
12/30/2018,Seattle Seahawks,Arizona Cardinals,27,24,51,,,,40,11,2,46,75,none,11,18,26,32
1/5/2019,Dallas Cowboys,Seattle Seahawks,24,22,46,,Y,,41.5,4.5,3,60,48,none,11,18,6,22
9/8/2019,Seattle Seahawks,Cincinnati Bengals,21,20,41,,,,43.5,-2.5,4,68,71,light rain,22,9,25,30
9/15/2019,Pittsburgh Steelers,Seattle Seahawks,26,28,54,,,,46.5,7.5,1,79,47,none,22,9,6,27
9/22/2019,Seattle Seahawks,New Orleans Saints,27,33,60,,,,45,15,7,63,84,light rain,22,9,13,3
9/29/2019,Arizona Cardinals,Seattle Seahawks,10,27,37,,,,47,-10,0,87,32,none,22,9,28,15
10/3/2019,Seattle Seahawks,Los Angeles Rams,30,29,59,,,,49,10,5,54,80,none,22,9,17,11
10/13/2019,Cleveland Browns,Seattle Seahawks,28,32,60,,,,47,13,8,64,26,none,22,9,20,22
10/20/2019,Seattle Seahawks,Baltimore Ravens,16,30,46,,,,50,-4,7,50,89,light rain,22,9,3,1
10/27/2019,Atlanta Falcons,Seattle Seahawks,20,27,47,,,,53,-6,0,69,59,none,22,9,23,13
11/3/2019,Seattle Seahawks,Tampa Bay Buccaneers,40,34,74,Y,,,53.5,20.5,4,53,72,none,22,9,29,4
11/11/2019,San Francisco 49ers,Seattle Seahawks,24,27,51,Y,,,44.5,6.5,2,71,36,none,22,9,8,2
11/24/2019,Philadelphia Eagles,Seattle Seahawks,9,17,26,,,,49.5,-23.5,10,40,81,light rain,22,9,15,12
12/2/2019,Seattle Seahawks,Minnesota Vikings,37,30,67,,,,49,18,1,46,75,light rain,22,9,5,8
12/8/2019,Los Angeles Rams,Seattle Seahawks,28,12,40,,,,46.5,-6.5,5,62,73,none,22,9,17,11
12/15/2019,Carolina Panthers,Seattle Seahawks,24,30,54,,,,48.5,5.5,5,55,50,none,22,9,28,15
12/22/2019,Seattle Seahawks,Arizona Cardinals,13,27,40,,,,50.5,-10.5,8,45,76,light rain,22,9,28,17
12/29/2019,Seattle Seahawks,San Francisco 49ers,21,26,47,,,,48,-1,2,45,84,none,22,9,8,2
1/5/2020,Philadelphia Eagles,Seattle Seahawks,9,17,26,,Y,,46,-20,10,38,53,none,22,9,15,12
1/12/2020,Green Bay Packers,Seattle Seahawks,28,23,51,,Y,,46,5,5,20,80,none,22,9,9,15
9/13/2020,Atlanta Falcons,Seattle Seahawks,25,38,63,,,,49,14,0,82,66,none,26,4,16,11
9/20/2020,Seattle Seahawks,New England Patriots,35,30,65,,,,44,21,2,66,69,none,26,4,12,27
9/27/2020,Seattle Seahawks,Dallas Cowboys,38,31,69,,,,56,13,4,65,59,none,26,4,32,23
10/4/2020,Miami Dolphins,Seattle Seahawks,23,31,54,,,,54.5,-0.5,12,87,71,none,26,4,2,14
10/11/2020,Seattle Seahawks,Minnesota Vikings,27,26,53,,,,58,-5,13,57,91,light rain,26,4,27,13
10/25/2020,Arizona Cardinals,Seattle Seahawks,37,34,71,Y,,,56.5,14.5,0,79,29,none,26,4,13,8
11/1/2020,Seattle Seahawks,San Francisco 49ers,37,27,64,,,,54,10,2,57,62,none,26,4,11,21
11/8/2020,Buffalo Bills,Seattle Seahawks,44,34,78,,,,54,24,3,67,44,none,26,4,17,10
11/15/2020,Los Angeles Rams,Seattle Seahawks,23,16,39,,,,56,-17,0,80,17,none,26,4,4,20
11/19/2020,Seattle Seahawks,Arizona Cardinals,28,21,49,,,,57.5,-8.5,8,47,86,none,26,4,13,8
11/30/2020,Philadelphia Eagles,Seattle Seahawks,17,23,40,,,,51.5,-11.5,6,58,95,none,26,4,14,25
12/6/2020,Seattle Seahawks,New York Giants,17,12,29,,,,47,-18,8,51,80,none,26,4,10,30
